Código de Modalidad;Código de la infraestructura;Número de Agentes Educativos;Recursos para formación;Periodo;Codigo Caja de Compensacion;Caja de Compensacion;Fecha Creacion
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;CCF013-26-013;40;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-08 09:55:57.190
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;0;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;56;COMFENALCO Valle del Cauca;2017-09-29 17:23:07.690
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;0;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P2;56;COMFENALCO Valle del Cauca;2017-09-29 17:27:48.703
INSTITUCIONAL - JARDINES SOCIALES;CCF-00000000;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;7;COMFAMILIAR Atlántico;2017-09-30 14:29:30.180
COMUNITARIA - HCB INTEGRALES;CCF-00000000;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;7;COMFAMILIAR Atlántico;2017-09-30 14:29:30.180
INSTITUCIONAL - JARDINES SOCIALES;CCF-00000000;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P2;7;COMFAMILIAR Atlántico;2017-09-30 14:55:10.127
COMUNITARIA - HCB INTEGRALES;CCF-00000000;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P2;7;COMFAMILIAR Atlántico;2017-09-30 14:55:10.127
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;CCF057-10-E02015;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;57;COMFANDI;2017-09-30 19:55:05.360
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;CCF057-10-E01110;0;0;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;57;COMFANDI;2017-09-30 19:55:05.360
INSTITUCIONAL - PREESCOLARES;CCF040-26-003;166;473132;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - PREESCOLARES;CCF040-26-374;151;487386;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - PREESCOLARES;CCF040-26-007;76;430379;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - PREESCOLARES;CCF040-26-008;86;216615;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - PREESCOLARES;CCF040-26-012;151;245117;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - PREESCOLARES;CCF040-26-025;156;430379;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCFO40-26-125;4;2633;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - HOGARES INFANTILES;CCF040-10-502;94;241598;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
INSTITUCIONAL - HOGARES INFANTILES;CCF040-10-501;103;202437;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-121;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
COMUNITARIA - HCB FAMILIARES;CCF040-26-123;11;7241;INFO_FONDOS_LEY_TRIM_FONIÑEZ_2017_C01_P1;40;COMFENALCO Santander;2017-10-02 16:41:52.733
