Código de Modalidad;Código de Concepto;Año;Valor Trimestre I;Valor Trimestre II;Valor Trimestre III;Valor Trimestre IV;Periodo;Codigo Caja de Compensacion;Caja de Compensacion;Fecha Creacion
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;SALDO INICIAL DEL FONDO – PERÍODO REPORTADO ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.643
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;APROPIACIÓN OBLIGATORIA ;2017;67532052;67532052;67532052;67532052;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.643
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;APROPIACIÓN VOLUNTARIA ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.647
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;RENDIMIENTOS FINANCIEROS ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.647
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;OTROS INGRESOS: RECUPERACIONES DE INCAPACIDAD Y DESCUENTOS COMERCIALES ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.650
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;PERSONAL ADMINISTRATIVO (REGÍSTRESE LOS GASTOS REFERENTES AL PERSONAL CONTRATADO POR NÓMINA PARA LA ADMINISTRACIÓN DEL PROGRAMA) - GASTOS DE ADMINISTRACIÓN ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.650
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;HONORARIOS (REGÍSTRESE LOS GASTOS REFERENTES AL PERSONAL CONTRATADO POR NÓMINA PARA LA ADMINISTRACIÓN DEL PROGRAMA) - GASTOS DE ADMINISTRACIÓN ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.653
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;IMPUESTOS (LOS GRAVÁMENES EN QUE SE INCURREN CORRESPONDIENTES AL PROGRAMA) – GASTOS DE ADMINISTRACIÓN ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.653
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;SEGUROS (LOS SEGUROS NECESARIOS PARA LA PRESTACIÓN DEL SERVICIO) - GASTOS DE ADMINISTRACIÓN ;2017;0;0;0;0;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.657
INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;SERVICIOS (CORRESPONDE A TODOS LOS SERVICIOS PÚBLICOS INCLUYENDO ASEO, VIGILANCIA Y TRANSPORTE DE CARGA) – GASTOS DE ADMINISTRACIÓN ;2017;200000;200000;200000;200000;INFO_FONDOS_LEY_ANUAL_FONIÑEZ_2017_C01_P1;13;COMFACA Comfamiliar Caqueta;2017-09-11 07:56:02.657
