Identificación del programa;Código de Modalidad;Código de Convenios y/o contratos FONIÑEZ;Valor;Periodo;Codigo Caja de Compensacion;Caja de Compensacion;Fecha Creacion
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;57;COMFANDI;2020-04-23 16:01:50.460
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;1533931032;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;57;COMFANDI;2020-04-23 16:01:50.460
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;126126432;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;57;COMFANDI;2020-04-23 16:01:50.460
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;1407804600;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;57;COMFANDI;2020-04-23 16:01:50.460
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;37;COMFANORTE;2020-04-23 17:20:45.770
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;1309516587;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;37;COMFANORTE;2020-04-23 17:20:45.770
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;840274493;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;37;COMFANORTE;2020-04-23 17:20:45.770
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;469242094;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;37;COMFANORTE;2020-04-23 17:20:45.770
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;9;COMFAMILIAR de Cartagena y Bolivar ;2020-04-24 06:34:15.587
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - PREESCOLARES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;11;COMFAMILIAR Caldas;2020-04-24 10:33:34.070
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HOGARES INFANTILES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;11;COMFAMILIAR Caldas;2020-04-24 10:33:34.070
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;11;COMFAMILIAR Caldas;2020-04-24 10:33:34.070
NO APLICA;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;35;COMFAMILIAR Nariño;2020-04-24 11:35:22.377
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;-249914;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;32;COMFAMILIAR Huila;2020-04-24 18:06:22.497
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;390435036;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;32;COMFAMILIAR Huila;2020-04-24 18:06:22.497
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;390435036;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;32;COMFAMILIAR Huila;2020-04-24 18:06:22.497
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;-249914;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;32;COMFAMILIAR Huila;2020-04-24 18:06:22.497
NO APLICA;PROPIA - PROPIA (IMPLEMENTACIÓN DE LA CAJA DE COMPENSACIÓN CON LOS LINEAMIENTOS DEL ICBF);Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;41;COMFASUCRE;2020-04-24 21:03:56.907
NO APLICA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;0;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;5;CAJACOPI Barranquilla;2020-04-24 23:46:24.947
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo inicial convenios;815113120;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;32161980;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;622254896;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - CENTRO DESARROLLO INFANTIL;Saldo Final Convenios – Período reportado;225020204;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - HCB EMPRESARIALES;Saldo inicial convenios;636807126;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Saldo Final Convenios – Período reportado;53240080;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;5586588;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;590724848;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - JARDINES SOCIALES;Saldo Final Convenios – Período reportado;-440169610;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Saldo inicial convenios;61217994;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;169766;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;8147680;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
JORNADA ESCOLAR COMPLEMENTARIA;INSTITUCIONAL - JARDINES SOCIALES;Saldo Final Convenios – Período reportado;302370898;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Saldo inicial convenios;1815226164;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Valor total de recursos de los convenios y/o contratos que se suscriban (solo se incluyen los aportes que se reciben de los terceros, no se incluyen los aportes de la CCF) – Período reportado;436173238;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
ATENCIÓN INTEGRAL A LA NIÑEZ;INSTITUCIONAL - PREESCOLARES;Total de gastos de convenios y/o contratos suscritos (solo de los aportes recibidos por terceros, no se incluyen los aportes de la CCF) – Período reportado;3277615594;FONDOS_LEY_FONIÑEZ_TRIMESTRAL_2020_P1;24;COMPENSAR;2020-04-25 09:20:31.560
